#TAXONOMY	ID	no rank	superkingdom	clade	phylum	class	order	family	genus	species	strain	no rank2	clade2	clade3	subspecies	no rank3	species group	subphylum
NZ_CP027986.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sichuanensis	NA	NA	NA	NA	NA	NA	Enterobacter cloacae complex	NA	
NZ_CP021112.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	NA	Pseudorhodoplanes	Pseudorhodoplanes sinuspersici	NA	Rhizobiales incertae sedis	NA	NA	NA	NA	NA	NA	
NZ_NCSQ01000081.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Aquidulcibacter	Aquidulcibacter paucihalophilus	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_CP050150.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_CP047349.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus terrae	NA	NA	NA	NA	Proteus terrae subsp. cibarius	NA	NA	NA	
NZ_CP045769.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cancerogenus	NA	NA	NA	NA	NA	NA	Enterobacter cloacae complex	NA	
NZ_RXNU01000030.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella canadensis	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_LR134475.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_CP038662.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia nematodiphila	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_CP024785.1	cellular organisms	Bacteria	NA	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc flagelliforme	Nostoc flagelliforme CCNUN1	NA	Terrabacteria group	Cyanobacteria/Melainabacteria group	NA	NA	NA	NA	
NZ_CP012938.1	cellular organisms	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	NA	NA	FCB group	Bacteroidetes/Chlorobi group	NA	NA	NA	NA	
NZ_SZVO01000016.1	cellular organisms	Bacteria	NA	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter frigoris	NA	NA	FCB group	Bacteroidetes/Chlorobi group	NA	NA	NA	NA	
NZ_FNXY01000016.1	cellular organisms	Bacteria	NA	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter koreensis	NA	NA	FCB group	Bacteroidetes/Chlorobi group	NA	NA	NA	NA	
NZ_SGXC01000005.1	cellular organisms	Bacteria	NA	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pigmentiphaga	Pigmentiphaga kullae	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_AMJJ01000034.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter radioresistens	Acinetobacter radioresistens TG02010	NA	NA	NA	NA	NA	NA	NA	
NZ_CP026999.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	NA	NA	NA	NA	NA	NA	NA	NA	
NC_010170.1	cellular organisms	Bacteria	NA	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella petrii	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_CP042410.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc citreum	NA	NA	NA	NA	NA	NA	NA	NA	
NC_018631.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc gelidum	Leuconostoc gelidum JB7	NA	NA	NA	NA	NA	NA	NA	
NZ_AJLN01000021.1	cellular organisms	Bacteria	NA	Cyanobacteria	NA	Nostocales	Chlorogloeopsidaceae	Chlorogloeopsis	Chlorogloeopsis fritschii	Chlorogloeopsis fritschii PCC 6912	NA	Terrabacteria group	Cyanobacteria/Melainabacteria group	NA	NA	NA	NA	
NZ_CP016337.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia sacchari	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_CP013450.1	cellular organisms	Bacteria	NA	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia	NA	NA	NA	NA	NA	NA	Burkholderia cepacia complex	NA	
NZ_CP013401.1	cellular organisms	Bacteria	NA	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia metallica	NA	NA	NA	NA	NA	NA	Burkholderia cepacia complex	NA	
